kelas,hari,tanggal,mata_kuliah,waktu
4ka24,Rabu,30 Juli 2025,Sistem Informasi Perbankan,08.00 - 09.00
4ka24,Rabu,30 Juli 2025,Etika dan Profesionalisme TSI,10.30 - 11.30
4ka24,Kamis,31 Juli 2025,Pengantar Bisnis Teknologi Informasi,09.15 - 10.15
4ka24,Kamis,31 Juli 2025,Sistem Informasi SDM,11.45- 12.45
4ka24,Jum'at,01 Agustus 2025,Sistem Informasi Geografis,08.00 - 09.00
4ka24,Jum'at,01 Agustus 2025,Bahasa Inggris Bisnis 2,10.30 - 11.30
4ka25,Selasa,29 Juli 2025,Audit Teknologi Sistem Informasi,08.00 - 09.00
4ka25,Rabu,30 Juli 2025,Sistem Informasi Perbankan,08.00 - 09.00
4ka25,Rabu,30 Juli 2025,Etika dan Profesionalisme TSI,10.30 - 11.30
4ka25,Kamis,31 Juli 2025,Pengantar Bisnis Teknologi Informasi,09.15 - 10.15
4ka25,Kamis,31 Juli 2025,Sistem Informasi SDM,11.45- 12.45
4ka25,Jum'at,01 Agustus 2025,Sistem Informasi Geografis,08.00 - 09.00
4ka25,Jum'at,01 Agustus 2025,Bahasa Inggris Bisnis 2,10.30 - 11.30
4ka26,Selasa,29 Juli 2025,Audit Teknologi Sistem Informasi,08.00 - 09.00
4ka26,Rabu,30 Juli 2025,Sistem Informasi Perbankan,08.00 - 09.00
4ka26,Rabu,30 Juli 2025,Etika dan Profesionalisme TSI,10.30 - 11.30
4ka26,Kamis,31 Juli 2025,Pengantar Bisnis Teknologi Informasi,09.15 - 10.15
4ka26,Kamis,31 Juli 2025,Sistem Informasi SDM,11.45- 12.45
4ka26,Jum'at,01 Agustus 2025,Sistem Informasi Geografis,08.00 - 09.00
4ka26,Jum'at,01 Agustus 2025,Bahasa Inggris Bisnis 2,10.30 - 11.30
4ka27,Selasa,29 Juli 2025,Audit Teknologi Sistem Informasi,08.00 - 09.00
4ka27,Rabu,30 Juli 2025,Sistem Informasi Perbankan,08.00 - 09.00
4ka27,Rabu,30 Juli 2025,Etika dan Profesionalisme TSI,10.30 - 11.30
