input_kelas,kelas,hari,mata_kuliah,waktu,ruang,dosen,berlaku_mulai
4ka02,4KA02,Senin,Sistem Informasi Geografis,1/2,F8483,SILVIA HARLENA,07 Jul 2025
4ka02,4KA02,Senin,Audit Teknologi Infomasi,3/4,F8483,EVANS WINANDA WIRGA,07 Jul 2025
4ka02,4KA02,Senin,Sistem Informasi Perbankan,6/7,F8482,HASMA RASJID,07 Jul 2025
4ka02,4KA02,Senin,Etika & Profesionalisme TSI,8/9,F8482,KEMAL ADE SEKARWATI,07 Jul 2025
4ka02,4KA02,Rabu,Sistem Informasi SDM,1/2,G127,EGA HEGARINI,07 Jul 2025
4ka02,4KA02,Rabu,Bahasa Inggris Bisnis 2,3/4,G127,ANINDIA AYU RAHMAWATI,07 Jul 2025
4ka02,4KA02,Rabu,Peng. Bisnis Teknologi Informa,5/6,G127,MIFTAHUL JANNAH,07 Jul 2025
4ka03,4KA03,Senin,Sistem Informasi Geografis,1/2,E337,NAELI UMNIATI,07 Jul 2025
4ka03,4KA03,Senin,Audit Teknologi Infomasi,4/5,E317,ERNIANTI HASIBUAN,07 Jul 2025
4ka03,4KA03,Senin,Etika & Profesionalisme TSI,6/7,E337,WIDYA KHAFA NOFA,07 Jul 2025
4ka03,4KA03,Rabu,Peng. Bisnis Teknologi Informa,1/2,G218,MIFTAHUL JANNAH,07 Jul 2025
4ka03,4KA03,Rabu,Sistem Informasi SDM,3/4,G218,EGA HEGARINI,07 Jul 2025
4ka03,4KA03,Rabu,Bahasa Inggris Bisnis 2,6/7,G221,ADANI NUR SABRINA,07 Jul 2025
4ka03,4KA03,Rabu,Sistem Informasi Perbankan,9/10,G115,HASMA RASJID,07 Jul 2025
4ka04,4KA04,Senin,Sistem Informasi Perbankan,1/2,F8462,FARIDA,07 Jul 2025
4ka04,4KA04,Senin,Etika & Profesionalisme TSI,3/4,F8462,KEMAL ADE SEKARWATI,07 Jul 2025
4ka04,4KA04,Senin,Audit Teknologi Infomasi,6/7,F8462,EVANS WINANDA WIRGA,07 Jul 2025
4ka04,4KA04,Senin,Sistem Informasi Geografis,9/10,F8462,I KOMANG SUGIARTHA,07 Jul 2025
4ka04,4KA04,Selasa,Sistem Informasi SDM,1/2,E216,EGA HEGARINI,07 Jul 2025
4ka04,4KA04,Selasa,Bahasa Inggris Bisnis 2,3/4,E139,DEFI JULIANTI,07 Jul 2025
4ka04,4KA04,Selasa,Peng. Bisnis Teknologi Informa,6/7,E139,RIFIANA ARIEF,07 Jul 2025
4ka05,4KA05,Senin,Etika & Profesionalisme TSI,1/2,F8451,NURUL ADHAYANTI,07 Jul 2025
4ka05,4KA05,Senin,Sistem Informasi Geografis,3/4,F8451,PARNO,07 Jul 2025
4ka05,4KA05,Senin,Sistem Informasi Perbankan,6/7,F8451,KARTIKA SARI,07 Jul 2025
4ka05,4KA05,Selasa,Bahasa Inggris Bisnis 2,1/2,E322,DIAN NURUDIN,07 Jul 2025
4ka05,4KA05,Selasa,Sistem Informasi SDM,3/4,E322,DINY WAHYUNI,07 Jul 2025
4ka05,4KA05,Selasa,Audit Teknologi Infomasi,6/7,E321,MAULANA MUJAHIDIN,07 Jul 2025
4ka05,4KA05,Selasa,Peng. Bisnis Teknologi Informa,8/9,E321,SUCI BR KEMBAREN,07 Jul 2025
4ka06,4KA06,Senin,Etika & Profesionalisme TSI,3/4,F8454,NURUL ADHAYANTI,07 Jul 2025
4ka06,4KA06,Senin,Sistem Informasi Perbankan,5/6,F8454,FARIDA,07 Jul 2025
4ka06,4KA06,Senin,Sistem Informasi Geografis,7/8,F8454,I KOMANG SUGIARTHA,07 Jul 2025
4ka06,4KA06,Selasa,Sistem Informasi SDM,1/2,E516,FETTIANA GIANADEVI,07 Jul 2025
4ka06,4KA06,Selasa,Bahasa Inggris Bisnis 2,3/4,E516,DIAN NURUDIN,07 Jul 2025
4ka06,4KA06,Selasa,Peng. Bisnis Teknologi Informa,7/8,E215,DESY WULANDARI ASFARY PUTRI,07 Jul 2025
4ka06,4KA06,Selasa,Audit Teknologi Infomasi,9/10,E215,MAULANA MUJAHIDIN,07 Jul 2025
4ka07,4KA07,Senin,Sistem Informasi Geografis,1/2,F8466,PARNO,07 Jul 2025
4ka07,4KA07,Senin,Peng. Bisnis Teknologi Informa,3/4,F8466,RIFIANA ARIEF,07 Jul 2025
4ka07,4KA07,Senin,Etika & Profesionalisme TSI,6/7,F8466,NURUL ADHAYANTI,07 Jul 2025
4ka07,4KA07,Senin,Sistem Informasi Perbankan,8/9,F8466,HASMA RASJID,07 Jul 2025
4ka07,4KA07,Rabu,Bahasa Inggris Bisnis 2,1/2,G421,ARSIWELA,07 Jul 2025
4ka07,4KA07,Rabu,Sistem Informasi SDM,3/4,G421,YULIA EKA PRAPTININGSIH,07 Jul 2025
4ka07,4KA07,Rabu,Audit Teknologi Infomasi,6/7,G444,NURASIAH,07 Jul 2025
4ka08,4KA08,Rabu,Sistem Informasi SDM,1/2,G434,YULIA EKA PRAPTININGSIH,07 Jul 2025
4ka08,4KA08,Rabu,Peng. Bisnis Teknologi Informa,3/4,G434,PUJI ZULAIKASARI,07 Jul 2025
4ka08,4KA08,Rabu,Bahasa Inggris Bisnis 2,5/6,G434,ARSIWELA,07 Jul 2025
4ka08,4KA08,Jum'at,Sistem Informasi Geografis,1/2,E223,KEMAL ADE SEKARWATI,07 Jul 2025
4ka08,4KA08,Jum'at,Sistem Informasi Perbankan,3/4,E223,FARIDA,07 Jul 2025
4ka08,4KA08,Jum'at,Etika & Profesionalisme TSI,7/8,E234,ANISA OKTAVIANI,07 Jul 2025
4ka08,4KA08,Jum'at,Audit Teknologi Infomasi,9/10,E326,ERNIANTI HASIBUAN,07 Jul 2025
4ka09,4KA09,Selasa,Audit Teknologi Infomasi,1/2,E215,NURASIAH,07 Jul 2025
4ka09,4KA09,Selasa,Sistem Informasi SDM,3/4,E215,EGA HEGARINI,07 Jul 2025
4ka09,4KA09,Selasa,Bahasa Inggris Bisnis 2,7/8,E122,DYAH AMBAR WURYANDARI,07 Jul 2025
4ka09,4KA09,Selasa,Peng. Bisnis Teknologi Informa,9/10,E122,RIFIANA ARIEF,07 Jul 2025
4ka09,4KA09,Jum'at,Sistem Informasi Geografis,3/4,E128,KEMAL ADE SEKARWATI,07 Jul 2025
4ka09,4KA09,Jum'at,Sistem Informasi Perbankan,7/8,E128,FARIDA,07 Jul 2025
4ka09,4KA09,Jum'at,Etika & Profesionalisme TSI,9/10,E128,ANISA OKTAVIANI,07 Jul 2025
4ka10,4KA10,Selasa,Etika & Profesionalisme TSI,1/2,E435,WIDYA KHAFA NOFA,07 Jul 2025
4ka10,4KA10,Selasa,Bahasa Inggris Bisnis 2,3/4,E435,SUYUDI,07 Jul 2025
4ka10,4KA10,Selasa,Sistem Informasi SDM,7/8,E513,FETTIANA GIANADEVI,07 Jul 2025
4ka10,4KA10,Selasa,Peng. Bisnis Teknologi Informa,9/10,E513,DESY WULANDARI ASFARY PUTRI,07 Jul 2025
4ka10,4KA10,Jum'at,Sistem Informasi Perbankan,1/2,E124,FARIDA,07 Jul 2025
4ka10,4KA10,Jum'at,Audit Teknologi Infomasi,3/4,E124,MAULANA MUJAHIDIN,07 Jul 2025
4ka10,4KA10,Jum'at,Sistem Informasi Geografis,7/8,E124,KEMAL ADE SEKARWATI,07 Jul 2025
4ka11,4KA11,Rabu,Peng. Bisnis Teknologi Informa,3/4,G441,NOOR VIKA HIZVIANI,07 Jul 2025
4ka11,4KA11,Rabu,Sistem Informasi SDM,6/7,G122,EGA HEGARINI,07 Jul 2025
4ka11,4KA11,Rabu,Bahasa Inggris Bisnis 2,9/10,G122,SUARDI,07 Jul 2025
4ka11,4KA11,Jum'at,Sistem Informasi Perbankan,1/2,E511,KARTIKA SARI,07 Jul 2025
4ka11,4KA11,Jum'at,Etika & Profesionalisme TSI,3/4,E511,WIDYA KHAFA NOFA,07 Jul 2025
4ka11,4KA11,Jum'at,Audit Teknologi Infomasi,7/8,E511,MAULANA MUJAHIDIN,07 Jul 2025
4ka11,4KA11,Jum'at,Sistem Informasi Geografis,9/10,E511,SILVIA HARLENA,07 Jul 2025
4ka12,4KA12,Selasa,Sistem Informasi SDM,1/2,E328,DINY WAHYUNI,07 Jul 2025
4ka12,4KA12,Selasa,Peng. Bisnis Teknologi Informa,3/4,E328,DESY WULANDARI ASFARY PUTRI,07 Jul 2025
4ka12,4KA12,Selasa,Bahasa Inggris Bisnis 2,6/7,E449,HANA FAUZIAH,07 Jul 2025
4ka12,4KA12,Jum'at,Sistem Informasi Geografis,1/2,E211,SILVIA HARLENA,07 Jul 2025
4ka12,4KA12,Jum'at,Sistem Informasi Perbankan,3/4,E211,HASMA RASJID,07 Jul 2025
4ka12,4KA12,Jum'at,Etika & Profesionalisme TSI,7/8,E512,RIZA ADRIANTI SUPONO,07 Jul 2025
4ka12,4KA12,Jum'at,Audit Teknologi Infomasi,9/10,E512,MAULANA MUJAHIDIN,07 Jul 2025
4ka13,4KA13,Selasa,Peng. Bisnis Teknologi Informa,5/6,E323,DEWI ANGGRAINI PUSPA HAPSARI,07 Jul 2025
4ka13,4KA13,Selasa,Sistem Informasi SDM,7/8,E323,DINY WAHYUNI,07 Jul 2025
4ka13,4KA13,Selasa,Sistem Informasi Geografis,9/10,E323,PRIHANDOKO,07 Jul 2025
4ka13,4KA13,Jum'at,Audit Teknologi Infomasi,1/2,E513,MAULANA MUJAHIDIN,07 Jul 2025
4ka13,4KA13,Jum'at,Etika & Profesionalisme TSI,3/4,E513,RIZA ADRIANTI SUPONO,07 Jul 2025
4ka13,4KA13,Jum'at,Sistem Informasi Perbankan,7/8,E216,HASMA RASJID,07 Jul 2025
4ka13,4KA13,Jum'at,Bahasa Inggris Bisnis 2,9/10,E216,ZAINAL RIADI,07 Jul 2025
4ka14,4KA14,Rabu,Bahasa Inggris Bisnis 2,3/4,G124,AULIA HARIS FIRSTIYANTI,07 Jul 2025
4ka14,4KA14,Rabu,Sistem Informasi SDM,5/6,G124,FETTIANA GIANADEVI,07 Jul 2025
4ka14,4KA14,Rabu,Peng. Bisnis Teknologi Informa,7/8,G124,PUJI ZULAIKASARI,07 Jul 2025
4ka14,4KA14,Jum'at,Sistem Informasi Geografis,1/2,E435,NURUL ADHAYANTI,07 Jul 2025
4ka14,4KA14,Jum'at,Audit Teknologi Infomasi,3/4,E228,ERNIANTI HASIBUAN,07 Jul 2025
4ka14,4KA14,Jum'at,Sistem Informasi Perbankan,7/8,E435,KARTIKA SARI,07 Jul 2025
4ka14,4KA14,Jum'at,Etika & Profesionalisme TSI,9/10,E435,RIZA ADRIANTI SUPONO,07 Jul 2025
4ka15,4KA15,Rabu,Bahasa Inggris Bisnis 2,1/2,G216,ANINDIA AYU RAHMAWATI,07 Jul 2025
4ka15,4KA15,Rabu,Sistem Informasi SDM,3/4,G216,FETTIANA GIANADEVI,07 Jul 2025
4ka15,4KA15,Rabu,Sistem Informasi Perbankan,7/8,G227,HASMA RASJID,07 Jul 2025
4ka15,4KA15,Rabu,Peng. Bisnis Teknologi Informa,9/10,G227,PUJI ZULAIKASARI,07 Jul 2025
4ka15,4KA15,Jum'at,Etika & Profesionalisme TSI,1/2,E347,WIDYA KHAFA NOFA,07 Jul 2025
4ka15,4KA15,Jum'at,Sistem Informasi Geografis,3/4,E347,SILVIA HARLENA,07 Jul 2025
4ka15,4KA15,Jum'at,Audit Teknologi Infomasi,7/8,E427,ERNIANTI HASIBUAN,07 Jul 2025
4ka16,4KA16,Senin,Audit Teknologi Infomasi,1/2,D635,ERNIANTI HASIBUAN,07 Jul 2025
4ka16,4KA16,Senin,Etika & Profesionalisme TSI,3/4,D635,WIDYA KHAFA NOFA,07 Jul 2025
4ka16,4KA16,Senin,Sistem Informasi Perbankan,5/6,D635,HENNY MEDYAWATI,07 Jul 2025
4ka16,4KA16,Selasa,Bahasa Inggris Bisnis 2,1/2,E513,SUYUDI,07 Jul 2025
4ka16,4KA16,Selasa,Peng. Bisnis Teknologi Informa,3/4,E513,DEWI ANGGRAINI PUSPA HAPSARI,07 Jul 2025
4ka16,4KA16,Selasa,Sistem Informasi SDM,5/6,E513,FETTIANA GIANADEVI,07 Jul 2025
4ka16,4KA16,Selasa,Sistem Informasi Geografis,8/9,E516,WIDIASTUTI,07 Jul 2025
4ka17,4KA17,Selasa,Sistem Informasi SDM,1/2,E311,YULI MAHARETTA ARIANTI,07 Jul 2025
4ka17,4KA17,Selasa,Peng. Bisnis Teknologi Informa,3/4,E311,SUCI BR KEMBAREN,07 Jul 2025
4ka17,4KA17,Selasa,Sistem Informasi Geografis,6/7,E432,PARNO,07 Jul 2025
4ka17,4KA17,Selasa,Audit Teknologi Infomasi,9/10,E432,ARIEF FADHLURRAHMAN RASYID,07 Jul 2025
4ka17,4KA17,Jum'at,Sistem Informasi Perbankan,1/2,E121,DELTA AGUS WARDIANTO,07 Jul 2025
4ka17,4KA17,Jum'at,Bahasa Inggris Bisnis 2,3/4,E121,DEVI HELLYSTIA,07 Jul 2025
4ka17,4KA17,Jum'at,Etika & Profesionalisme TSI,7/8,E521,EGY WISNU MOYO,07 Jul 2025
4ka18,4KA18,Selasa,Sistem Informasi Geografis,1/2,E325,VERONIKA WIDI PRABAWASARI,07 Jul 2025
4ka18,4KA18,Selasa,Sistem Informasi SDM,3/4,E325,YULI MAHARETTA ARIANTI,07 Jul 2025
4ka18,4KA18,Selasa,Peng. Bisnis Teknologi Informa,5/6,E325,SUCI BR KEMBAREN,07 Jul 2025
4ka18,4KA18,Jum'at,Audit Teknologi Infomasi,1/2,E317,ERNIANTI HASIBUAN,07 Jul 2025
4ka18,4KA18,Jum'at,Sistem Informasi Perbankan,3/4,E434,DELTA AGUS WARDIANTO,07 Jul 2025
4ka18,4KA18,Jum'at,Bahasa Inggris Bisnis 2,7/8,E434,ZAINAL RIADI,07 Jul 2025
4ka18,4KA18,Jum'at,Etika & Profesionalisme TSI,9/10,E434,EGY WISNU MOYO,07 Jul 2025
4ka19,4KA19,Senin,Audit Teknologi Infomasi,1/2,F8465,EVANS WINANDA WIRGA,07 Jul 2025
4ka19,4KA19,Senin,Sistem Informasi Perbankan,3/4,F8465,FARIDA,07 Jul 2025
4ka19,4KA19,Senin,Sistem Informasi Geografis,5/6,F8465,PARNO,07 Jul 2025
4ka19,4KA19,Senin,Etika & Profesionalisme TSI,8/9,F8465,NURUL ADHAYANTI,07 Jul 2025
4ka19,4KA19,Rabu,Peng. Bisnis Teknologi Informa,3/4,G315,MIFTAHUL JANNAH,07 Jul 2025
4ka19,4KA19,Rabu,Bahasa Inggris Bisnis 2,5/6,G315,AULIA HARIS FIRSTIYANTI,07 Jul 2025
4ka19,4KA19,Rabu,Sistem Informasi SDM,8/9,G313,EGA HEGARINI,07 Jul 2025
4ka20,4KA20,Senin,Sistem Informasi SDM,3/4,C007,AGRY ALFIAH,07 Jul 2025
4ka20,4KA20,Senin,Peng. Bisnis Teknologi Informa,6/7,C007,ALI AKBAR,07 Jul 2025
4ka20,4KA20,Senin,Bahasa Inggris Bisnis 2,8/9,C007,NURI ADLINA,07 Jul 2025
4ka20,4KA20,Rabu,Sistem Informasi Geografis,1/2,B221,LULU CHAERANI MUNGGARAN,07 Jul 2025
4ka20,4KA20,Rabu,Etika & Profesionalisme TSI,3/4,B221,SYIFA NURANI RAHMAYANTI,07 Jul 2025
4ka20,4KA20,Rabu,Sistem Informasi Perbankan,6/7,B221,ITA RUSMALA DEWI,07 Jul 2025
4ka20,4KA20,Rabu,Audit Teknologi Infomasi,8/9,B221,MUFNI ALIDA,07 Jul 2025
4ka21,4KA21,Senin,Sistem Informasi SDM,1/2,C008,AGRY ALFIAH,07 Jul 2025
4ka21,4KA21,Senin,Peng. Bisnis Teknologi Informa,3/4,C008,ALI AKBAR,07 Jul 2025
4ka21,4KA21,Senin,Bahasa Inggris Bisnis 2,5/6,C008,NURI ADLINA,07 Jul 2025
4ka21,4KA21,Rabu,Etika & Profesionalisme TSI,1/2,B223,SYIFA NURANI RAHMAYANTI,07 Jul 2025
4ka21,4KA21,Rabu,Sistem Informasi Geografis,3/4,B223,LULU CHAERANI MUNGGARAN,07 Jul 2025
4ka21,4KA21,Rabu,Audit Teknologi Infomasi,6/7,B223,MUFNI ALIDA,07 Jul 2025
4ka21,4KA21,Rabu,Sistem Informasi Perbankan,8/9,B223,ITA RUSMALA DEWI,07 Jul 2025
4ka22,4KA22,Selasa,Peng. Bisnis Teknologi Informa,12/13/14,D637,ERVAN CATUR ANGKOSO,07 Jul 2025
4ka22,4KA22,Jum'at,Sistem Informasi Geografis,11/12,D636,PRIHANDOKO,07 Jul 2025
4ka22,4KA22,Jum'at,Sistem Informasi Perbankan,13/14,D636,TRIONO SETIAJI,07 Jul 2025
4ka22,4KA22,Sabtu,Etika & Profesionalisme TSI,1/2,G137,LILIS KUSNITAWATI,07 Jul 2025
4ka22,4KA22,Sabtu,Audit Teknologi Infomasi,4/5,G137,EVANS WINANDA WIRGA,07 Jul 2025
4ka22,4KA22,Sabtu,Sistem Informasi SDM,7/8,G137,YULI MAHARETTA ARIANTI,07 Jul 2025
4ka22,4KA22,Sabtu,Bahasa Inggris Bisnis 2,9/10,G137,ERNA PRANATA PUTRI,07 Jul 2025
4ka23,4KA23,Senin,Sistem Informasi SDM,1/2,J1115A,SINDY NOVA,07 Jul 2025
4ka23,4KA23,Senin,Audit Teknologi Infomasi,3/4,J1115A,ISRAM RASAL,07 Jul 2025
4ka23,4KA23,Senin,Sistem Informasi Geografis,6/7,J1115A,WIDIASTUTI,07 Jul 2025
4ka23,4KA23,Senin,Sistem Informasi Perbankan,8/9,J1115A,WAHYU SUPRIYATIN,07 Jul 2025
4ka23,4KA23,Sabtu,Etika & Profesionalisme TSI,1/2,J60901,AMARAN SHIDIQ,07 Jul 2025
4ka23,4KA23,Sabtu,Peng. Bisnis Teknologi Informa,5/6,J60901,NOVIYANTO,07 Jul 2025
4ka23,4KA23,Sabtu,Bahasa Inggris Bisnis 2,7/8,J60901,STELLA AMANDA,07 Jul 2025
4ka24,4KA24,Senin,Sistem Informasi Geografis,1/2,J157,MUHAMMAD ACHSAN ISA AL ANSHORI,07 Jul 2025
4ka24,4KA24,Senin,Sistem Informasi Perbankan,3/4,J157,WAHYU SUPRIYATIN,07 Jul 2025
4ka24,4KA24,Senin,Audit Teknologi Infomasi,7/8,J157,ISRAM RASAL,07 Jul 2025
4ka24,4KA24,Sabtu,Peng. Bisnis Teknologi Informa,1/2,J60902,NOVIYANTO,07 Jul 2025
4ka24,4KA24,Sabtu,Etika & Profesionalisme TSI,3/4,J60902,AMARAN SHIDIQ,07 Jul 2025
4ka24,4KA24,Sabtu,Bahasa Inggris Bisnis 2,5/6,J60902,RADEN RORO SHINTA FELISIA,07 Jul 2025
4ka24,4KA24,Sabtu,Sistem Informasi SDM,8/9,J60902,DIA RAGASARI,07 Jul 2025
4ka25,4KA25,Senin,Etika & Profesionalisme TSI,3/4,J144,ANGGRAENI RIDWAN,07 Jul 2025
4ka25,4KA25,Senin,Sistem Informasi Geografis,5/6,J144,MUHAMMAD ACHSAN ISA AL ANSHORI,07 Jul 2025
4ka25,4KA25,Selasa,Sistem Informasi SDM,1/2,J1511,SINDY NOVA,07 Jul 2025
4ka25,4KA25,Selasa,Peng. Bisnis Teknologi Informa,3/4,J1511,KHAIRUNNISA RAIHANI,07 Jul 2025
4ka25,4KA25,Selasa,Bahasa Inggris Bisnis 2,6/7,J159,NOVI DWI GITAWATI,07 Jul 2025
4ka25,4KA25,Sabtu,Audit Teknologi Infomasi,3/4,J60906,KURNIAWAN B. PRIANTO,07 Jul 2025
4ka25,4KA25,Sabtu,Sistem Informasi Perbankan,6/7,J60906,DWI KARTINAH,07 Jul 2025
4ka26,4KA26,Selasa,Sistem Informasi SDM,6/7,J1115A,SINDY NOVA,07 Jul 2025
4ka26,4KA26,Selasa,Bahasa Inggris Bisnis 2,8/9,J1115A,NOVI DWI GITAWATI,07 Jul 2025
4ka26,4KA26,Rabu,Etika & Profesionalisme TSI,6/7,J1316A,LILIS KUSNITAWATI,07 Jul 2025
4ka26,4KA26,Rabu,Sistem Informasi Geografis,9/10,J1316A,INDAH TRI HANDAYANI,07 Jul 2025
4ka26,4KA26,Sabtu,Peng. Bisnis Teknologi Informa,3/4,J60903,NOVIYANTO,07 Jul 2025
4ka26,4KA26,Sabtu,Audit Teknologi Infomasi,6/7,J60903,KURNIAWAN B. PRIANTO,07 Jul 2025
4ka26,4KA26,Sabtu,Sistem Informasi Perbankan,8/9,J60903,DWI KARTINAH,07 Jul 2025
4ka27,4KA27,Senin,Sistem Informasi Perbankan,1/2,J1319,WAHYU SUPRIYATIN,07 Jul 2025
4ka27,4KA27,Senin,Peng. Bisnis Teknologi Informa,3/4,J1319,KHAIRUNNISA RAIHANI,07 Jul 2025
4ka27,4KA27,Senin,Sistem Informasi SDM,6/7,J1319,SINDY NOVA,07 Jul 2025
4ka27,4KA27,Senin,Audit Teknologi Infomasi,9/10,J1319,ISRAM RASAL,07 Jul 2025
4ka27,4KA27,Rabu,Etika & Profesionalisme TSI,1/2,J154,ANGGRAENI RIDWAN,07 Jul 2025
4ka27,4KA27,Rabu,Sistem Informasi Geografis,3/4,J154,WIDIASTUTI,07 Jul 2025
4ka27,4KA27,Rabu,Bahasa Inggris Bisnis 2,5/6,J154,SHOLIHANNISA DWI SAPTO RINI KAZEINDA,07 Jul 2025
4ka28,4KA28,Senin,Audit Teknologi Infomasi,1/2,J1310,ISRAM RASAL,07 Jul 2025
4ka28,4KA28,Senin,Sistem Informasi Geografis,3/4,J1310,WIDIASTUTI,07 Jul 2025
4ka28,4KA28,Senin,Sistem Informasi Perbankan,6/7,J127,WAHYU SUPRIYATIN,07 Jul 2025
4ka28,4KA28,Selasa,Etika & Profesionalisme TSI,1/2,J139,JUWITA UTAMI PUTRI,07 Jul 2025
4ka28,4KA28,Selasa,Sistem Informasi SDM,3/4,J139,SINDY NOVA,07 Jul 2025
4ka28,4KA28,Selasa,Peng. Bisnis Teknologi Informa,7/8,J139,KHAIRUNNISA RAIHANI,07 Jul 2025
4ka28,4KA28,Selasa,Bahasa Inggris Bisnis 2,9/10,J139,RICKY PERDANA,07 Jul 2025
4ka29,4KA29,Rabu,Peng. Bisnis Teknologi Informa,1/2,K268,SETIA WIRAWAN,07 Jul 2025
4ka29,4KA29,Rabu,Audit Teknologi Infomasi,3/4,K265,EVANS WINANDA WIRGA,07 Jul 2025
4ka29,4KA29,Rabu,Etika & Profesionalisme TSI,5/6,K161,ASTIE DARMAYANTIE,07 Jul 2025
4ka29,4KA29,Kamis,Sistem Informasi Perbankan,1/2,K175,EGA HEGARINI,07 Jul 2025
4ka29,4KA29,Kamis,Sistem Informasi SDM,3/4,K244,MOH. YUNUS,07 Jul 2025
4ka29,4KA29,Jum'at,Bahasa Inggris Bisnis 2,1/2,K131,SEPTIAN DWI PUTRI,07 Jul 2025
4ka29,4KA29,Jum'at,Sistem Informasi Geografis,3/4,K281,WIDIASTUTI,07 Jul 2025
4ka30,4KA30,Selasa,Peng. Bisnis Teknologi Informa,1/2,K261,DETTY PURNAMASARI,07 Jul 2025
4ka30,4KA30,Selasa,Bahasa Inggris Bisnis 2,6/7,K165,MARIA,07 Jul 2025
4ka30,4KA30,Rabu,Audit Teknologi Infomasi,1/2,K265,EVANS WINANDA WIRGA,07 Jul 2025
4ka30,4KA30,Rabu,Etika & Profesionalisme TSI,3/4,K161,ASTIE DARMAYANTIE,07 Jul 2025
4ka30,4KA30,Kamis,Sistem Informasi Perbankan,1/2,K175,EGA HEGARINI,07 Jul 2025
4ka30,4KA30,Kamis,Sistem Informasi SDM,3/4,K244,MOH. YUNUS,07 Jul 2025
4ka30,4KA30,Jum'at,Sistem Informasi Geografis,1/2,K281,WIDIASTUTI,07 Jul 2025
4ka31,4KA31,Selasa,Peng. Bisnis Teknologi Informa,3/4,K261,DETTY PURNAMASARI,07 Jul 2025
4ka31,4KA31,Rabu,Etika & Profesionalisme TSI,4/5,K165,HUSTINAWATY,07 Jul 2025
4ka31,4KA31,Kamis,Sistem Informasi Geografis,1/2,K272,RISMA RAHMALIA FITRIANI,07 Jul 2025
4ka31,4KA31,Kamis,Sistem Informasi Perbankan,3/4,K175,EGA HEGARINI,07 Jul 2025
4ka31,4KA31,Kamis,Sistem Informasi SDM,5/6,K244,MOH. YUNUS,07 Jul 2025
4ka31,4KA31,Jum'at,Audit Teknologi Infomasi,3/4,K252,LINDA HANDAYANI,07 Jul 2025
4ka31,4KA31,Jum'at,Bahasa Inggris Bisnis 2,7/8,K131,SEPTIAN DWI PUTRI,07 Jul 2025
4ka32,4KA32,Senin,Peng. Bisnis Teknologi Informa,2/3,L224,HURNANINGSIH,07 Jul 2025
4ka32,4KA32,Senin,Audit Teknologi Infomasi,4/5,L223,YULIA CHALRI,07 Jul 2025
4ka32,4KA32,Rabu,Bahasa Inggris Bisnis 2,2/3,L241,DEVI HELLYSTIA,07 Jul 2025
4ka32,4KA32,Kamis,Sistem Informasi Geografis,1/2,K272,RISMA RAHMALIA FITRIANI,07 Jul 2025
4ka32,4KA32,Kamis,Sistem Informasi Perbankan,3/4,K175,EGA HEGARINI,07 Jul 2025
4ka32,4KA32,Kamis,Sistem Informasi SDM,5/6,K244,MOH. YUNUS,07 Jul 2025
4ka32,4KA32,Jum'at,Etika & Profesionalisme TSI,3/4,L243,REVIDA IRIANA NAPITUPULU,07 Jul 2025
1kb01,1KB01,Senin,Praktikum Teknologi Kecerdasan Artifisial,1/2,,TIM DOSEN,07 Jul 2025
1kb01,1KB01,Selasa,Teknologi Kecerdasan Artificia,,UGTV,TEAM TEACHING,07 Jul 2025
1kb01,1KB01,Rabu,Algoritma & Pemrograman 2C,1/2,D654,FARIDA AMALYA,07 Jul 2025
1kb01,1KB01,Rabu,Matematika Dasar 2A,3/4,D654,ALONA SITUMEANG,07 Jul 2025
1kb01,1KB01,Rabu,Pengantar Teknologi Informasi **,5/6,D654,JAMILAH,07 Jul 2025
1kb01,1KB01,Jum'at,Fisika Dasar 2,3/4,G441,ANDINI SINTAWATI,07 Jul 2025
1kb01,1KB01,Jum'at,Algoritma & Pemrograman 2A,7/8,G441,ELVINA,07 Jul 2025
1kb01,1KB01,Jum'at,Algoritma & Pemrograman 2B,9/10,G441,RAGIEL HADI PRAYITNO,07 Jul 2025
1kb01,1KB01,Sabtu,Pendidikan Kewarganegaraan,1/2,E527,RANDY,07 Jul 2025
1kb01,1KB01,Sabtu,Pendidikan Agama Islam,3/4,E527,APIPUDIN,07 Jul 2025
1kb01,1KB01,Sabtu,Matematika Dasar 2B,7/8,E527,DARWIS ABDUL ROHMAN,07 Jul 2025
1kb01,1KB01,Sabtu,Bahasa Inggris,9/10,E527,ROSE DIANA,07 Jul 2025
1kb02,1KB02,Senin,Praktikum Teknologi Kecerdasan Artifisial,1/2,,TIM DOSEN,07 Jul 2025
1kb02,1KB02,Selasa,Teknologi Kecerdasan Artificia,,UGTV,TEAM TEACHING,07 Jul 2025
1kb02,1KB02,Rabu,Pengantar Teknologi Informasi **,1/2,D664,SYAMSI RUHAMA,07 Jul 2025
1kb02,1KB02,Rabu,Fisika Dasar 2,3/4,D664,AGUS TURIYONO,07 Jul 2025
1kb02,1KB02,Rabu,Matematika Dasar 2A,5/6,D664,ALONA SITUMEANG,07 Jul 2025
1kb02,1KB02,Kamis,Pendidikan Kewarganegaraan,3/4,E523,MUHAMAD FARID MAHMUD,07 Jul 2025
1kb02,1KB02,Kamis,Algoritma & Pemrograman 2C,5/6,E523,MUJI SANTOSO/FITHRI NURHAYATI,07 Jul 2025
